,Voltage,Current,Action
208,287.063323,216.0080132,0
209,287.063323,216.0080132,0
210,289.9055342,216.0080132,0
211,289.9055342,216.0080132,0
212,289.9055342,216.0080132,0
213,289.9055342,216.0080132,0
214,289.9055342,216.0080132,0
215,289.9055342,216.0080132,0
216,289.9055342,216.0080132,0
217,289.9055342,216.0080132,0
218,289.9055342,218.8502239,0
219,292.7477453,218.8502239,0
220,292.7477453,218.8502239,0
221,292.7477453,218.8502239,0
222,298.4321675,218.8502239,0
223,298.4321675,218.8502239,0
224,298.4321675,218.8502239,0
225,298.4321675,218.8502239,0
226,298.4321675,224.5346453,0
227,298.4321675,224.5346453,0
228,298.4321675,224.5346453,0
229,298.4321675,224.5346453,0
230,298.4321675,224.5346453,0
231,298.4321675,224.5346453,0
232,298.4321675,224.5346453,0
233,298.4321675,224.5346453,0
234,298.4321675,224.5346453,0
235,298.4321675,224.5346453,0
236,298.4321675,224.5346453,0
237,298.4321675,224.5346453,0
238,298.4321675,224.5346453,0
239,298.4321675,224.5346453,0
240,298.4321675,224.5346453,0
241,298.4321675,224.5346453,0
242,298.4321675,224.5346453,0
243,301.2743787,224.5346453,0
244,301.2743787,224.5346453,0
245,301.2743787,224.5346453,0
246,301.2743787,224.5346453,0
247,301.2743787,224.5346453,0
248,301.2743787,224.5346453,0
249,301.2743787,224.5346453,0
250,301.2743787,224.5346453,0
251,301.2743787,224.5346453,0
252,301.2743787,224.5346453,0
253,301.2743787,224.5346453,0
254,301.2743787,224.5346453,0
255,301.2743787,224.5346453,0
256,301.2743787,224.5346453,0
257,301.2743787,224.5346453,0
258,301.2743787,224.5346453,0
259,301.2743787,224.5346453,0
260,301.2743787,224.5346453,0
261,301.2743787,224.5346453,0
262,301.2743787,224.5346453,0
263,301.2743787,224.5346453,0
264,301.2743787,224.5346453,0
265,301.2743787,224.5346453,0
266,301.2743787,224.5346453,0
267,301.2743787,224.5346453,0
268,301.2743787,224.5346453,0
269,301.2743787,224.5346453,0
270,301.2743787,224.5346453,0
271,301.2743787,224.5346453,0
272,301.2743787,224.5346453,0
273,301.2743787,224.5346453,0
274,301.2743787,224.5346453,0
275,301.2743787,224.5346453,0
276,301.2743787,224.5346453,0
277,301.2743787,224.5346453,0
278,301.2743787,224.5346453,0
279,301.2743787,224.5346453,0
280,301.2743787,224.5346453,0
281,301.2743787,224.5346453,0
282,301.2743787,224.5346453,0
283,301.2743787,224.5346453,0
284,301.2743787,224.5346453,0
285,301.2743787,224.5346453,0
286,301.2743787,224.5346453,0
287,301.2743787,221.6924346,0
288,301.2743787,221.6924346,0
289,301.2743787,221.6924346,0
290,301.2743787,221.6924346,0
291,301.2743787,221.6924346,0
292,301.2743787,221.6924346,0
293,301.2743787,221.6924346,0
294,301.2743787,221.6924346,0
295,301.2743787,221.6924346,0
296,301.2743787,221.6924346,0
297,301.2743787,221.6924346,0
298,301.2743787,221.6924346,0
299,301.2743787,221.6924346,0
300,301.2743787,221.6924346,0
301,301.2743787,221.6924346,0
302,301.2743787,221.6924346,0
303,301.2743787,221.6924346,0
304,301.2743787,221.6924346,0
305,301.2743787,221.6924346,0
306,301.2743787,221.6924346,0
307,301.2743787,221.6924346,0
308,301.2743787,221.6924346,0
309,301.2743787,221.6924346,0
310,301.2743787,221.6924346,0
311,301.2743787,221.6924346,0
312,301.2743787,221.6924346,0
313,301.2743787,221.6924346,0
314,301.2743787,221.6924346,0
315,301.2743787,221.6924346,0
316,301.2743787,221.6924346,0
317,301.2743787,221.6924346,0
318,301.2743787,221.6924346,0
319,301.2743786,221.6924346,0
320,301.2743786,221.6924346,0
321,301.2743786,221.6924346,0
322,301.2743786,221.6924346,0
323,301.2743786,221.6924346,0
324,301.2743786,221.6924346,0
325,301.2743786,221.6924346,0
326,301.2743786,221.6924346,0
327,301.2743786,221.6924346,0
328,301.2743786,221.6924346,0
329,301.2743786,221.6924346,0
330,292.7477453,221.6924346,0
331,292.7477453,221.6924346,0
332,292.7477453,221.6924346,0
333,292.7477453,221.6924346,0
334,292.7477453,221.6924346,0
335,292.7477453,221.6924346,0
336,292.7477453,221.6924346,0
337,292.7477453,221.6924346,0
338,292.7477453,221.6924346,0
339,292.7477453,221.6924346,0
340,292.7477453,221.6924346,0
341,292.7477453,221.6924346,0
342,292.7477453,221.6924346,0
343,292.7477453,221.6924346,0
344,292.7477453,221.6924346,0
345,292.7477453,221.6924346,0
346,292.7477453,221.6924346,0
347,289.9055342,221.6924346,0
348,289.9055342,221.6924346,0
349,289.9055342,221.6924346,0
350,289.9055342,221.6924346,0
351,289.9055342,221.6924346,0
352,289.9055342,221.6924346,0
353,289.9055342,221.6924346,0
354,289.9055342,221.6924346,0
355,289.9055342,221.6924346,0
356,289.9055342,221.6924346,0
357,289.9055342,221.6924346,0
358,289.9055342,221.6924346,0
359,289.9055342,221.6924346,0
360,289.9055342,221.6924346,0
361,289.9055342,221.6924346,0
362,289.9055342,221.6924346,0
363,298.4321675,221.6924346,0
364,298.4321675,221.6924346,0
365,298.4321675,221.6924346,0
366,298.4321675,221.6924346,0
367,298.4321675,221.6924346,0
368,298.4321675,221.6924346,0
369,298.4321675,221.6924346,0
370,298.4321675,221.6924346,0
371,298.4321675,221.6924346,0
372,298.4321675,221.6924346,0
373,298.4321675,221.6924346,0
374,298.4321675,221.6924346,0
375,298.4321675,221.6924346,0
376,298.4321675,221.6924346,0
377,298.4321675,221.6924346,0
378,298.4321675,221.6924346,0
379,298.4321675,221.6924346,0
380,298.4321675,221.6924346,0
381,298.4321675,221.6924346,0
382,298.4321675,221.6924346,0
383,298.4321675,221.6924346,0
384,298.4321675,221.6924346,0
385,298.4321675,221.6924346,0
386,298.4321675,221.6924346,0
387,298.4321675,221.6924346,0
388,298.4321675,221.6924346,0
389,298.4321675,221.6924346,0
390,298.4321675,221.6924346,0
391,298.4321675,221.6924346,0
392,298.4321675,221.6924346,0
